Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
1,WSU050-2000-R,Triad Magnetics,WSU050-2000-R,https://octopart.com/wsu050-2000-r-triad+magnetics-21124242,,,,1,237-1386-ND,553-WSU050-2000-R,Box,,9.91,8.85,105,32,1,1,https://octopart.com/click/track?ai=8237&sig=004ac7d&sid=459&ppid=21124242&vpid=47672116&ct=offers,https://octopart.com/click/track?ai=8237&sig=089fb21&sid=2401&ppid=21124242&vpid=44234291&ct=offers,Arrow Electronics,WSU050-2000-R,,8.547,8.547,8.547,52,1,https://octopart.com/click/track?ai=8237&sig=0c21e43&sid=1106&ppid=21124242&vpid=473515992&ct=offers,
1,TM4C123GH6PMI7,Texas Instruments,TM4C123GH6PMI7,https://octopart.com/tm4c123gh6pmi7-texas+instruments-47641106,,,,1,296-44987-ND,595-TM4C123GH6PMI7,Tray,,10.64,10.64,654,165,1,1,https://octopart.com/click/track?ai=8237&sig=00c1a92&sid=459&ppid=47641106&vpid=275799995&ct=offers,https://octopart.com/click/track?ai=8237&sig=0a41b2e&sid=2401&ppid=47641106&vpid=213515632&ct=offers,Texas Instruments,TM4C123GH6PMI7,,8.27,8.27,8.27,6258,1,https://octopart.com/click/track?ai=8237&sig=0069196&sid=27219&ppid=47641106&vpid=267028168&ct=offers,
1,LM2937ES-3.3/NOPB,Texas Instruments,LM2937ES-3.3/NOPB,https://octopart.com/lm2937es-3.3%2Fnopb-texas+instruments-24813519,,,,1,LM2937ES-3.3/NOPB-ND,926-LM2937ES-3.3NOPB,Tube,Tube,2.35,2.34,1573,403,1,1,https://octopart.com/click/track?ai=8237&sig=0437e46&sid=459&ppid=24813519&vpid=57503228&ct=offers,https://octopart.com/click/track?ai=8237&sig=0670339&sid=2401&ppid=24813519&vpid=57204435&ct=offers,Rochester Electronics,LM2937ES-3.3/NOPB,,1.29,1.29,1.29,82,1,https://octopart.com/click/track?ai=8237&sig=06c7e6d&sid=5832&ppid=24813519&vpid=84971111&ct=offers,
1,NX5032GA-16.000000MHZ-LN-CD-1,NDK,NX5032GA-16.000000MHZ-LN-CD-1,https://octopart.com/nx5032ga-16.000000mhz-ln-cd-1-ndk-21025276,,,,1,644-1037-1-ND,,Cut Tape,,0.66,,46613,,1,,https://octopart.com/click/track?c=1&ai=8237&sig=0c2a1cf&sid=459&ppid=21025276&vpid=43970218&ct=offers,,Digi-Key,644-1037-1-ND,Cut Tape,0.66,0.66,0.66,46613,1,https://octopart.com/click/track?c=1&ai=8237&sig=0c2a1cf&sid=459&ppid=21025276&vpid=43970218&ct=offers,
4,84953-4,TE Connectivity,84953-4,https://octopart.com/84953-4-te+connectivity-39503266,,,,1,A33834CT-ND,571-84953-4,Cut Tape,Tape & Reel,0.69,0.61,14088,11983,1,1,https://octopart.com/click/track?ai=8237&sig=03da553&sid=459&ppid=39503266&vpid=119578538&ct=offers,https://octopart.com/click/track?ai=8237&sig=0850ce2&sid=2401&ppid=39503266&vpid=114827793&ct=offers,TE Store,84953-4,,0.49,0.49,0.49,14088,1,https://octopart.com/click/track?ai=8237&sig=00d1fee&sid=27910&ppid=39503266&vpid=503389453&ct=offers,
1,KB DELPS2.12-QHRI-24-Z555-10-S,Osram Opto,KB DELPS2.12-QHRI-24-Z555-10-S,https://octopart.com/kb+delps2.12-qhri-24-z555-10-s-osram+opto-106000311,,,,1,,720-KBDELPS212A6350,,Tape & Reel,,0.42,,14380,,1,,https://octopart.com/click/track?ai=8237&sig=0c99913&sid=2401&ppid=106000311&vpid=591892067&ct=offers,Mouser,720-KBDELPS212A6350,Tape & Reel,0.42,0.42,0.42,14380,1,https://octopart.com/click/track?ai=8237&sig=0c99913&sid=2401&ppid=106000311&vpid=591892067&ct=offers,
1,KG DELMS1.22-PHQI-24-E6L6,Osram Opto,KG DELMS1.22-PHQI-24-E6L6,https://octopart.com/kg+delms1.22-phqi-24-e6l6-osram+opto-104814092,,,,1,,720-KGDELMS122A4854,,Tape & Reel,,0.41,,4897,,1,,https://octopart.com/click/track?ai=8237&sig=02a3ff8&sid=2401&ppid=104814092&vpid=583687907&ct=offers,Mouser,720-KGDELMS122A4854,Tape & Reel,0.41,0.41,0.41,4897,1,https://octopart.com/click/track?ai=8237&sig=02a3ff8&sid=2401&ppid=104814092&vpid=583687907&ct=offers,
1,PJ-102AH,CUI,PJ-102AH,https://octopart.com/pj-102ah-cui-286937,,,,1,,,,,,,,,,,,,Component Electronics,PJ-102AH,,0.38462,0.38462,0.38462,8,1,https://octopart.com/click/track?ai=8237&sig=06d63f5&sid=17279&ppid=286937&vpid=74309612&ct=offers,
1,KR DELMS1.22-RHSI-24-E6L6,Osram Opto,KR DELMS1.22-RHSI-24-E6L6,https://octopart.com/kr+delms1.22-rhsi-24-e6l6-osram+opto-104814097,,,,1,,720-KRDELMS122A4857,,Tape & Reel,,0.35,,19990,,1,,https://octopart.com/click/track?ai=8237&sig=0638f6f&sid=2401&ppid=104814097&vpid=583687912&ct=offers,Mouser,720-KRDELMS122A4857,Tape & Reel,0.35,0.35,0.35,19990,1,https://octopart.com/click/track?ai=8237&sig=0638f6f&sid=2401&ppid=104814097&vpid=583687912&ct=offers,
1,C0805C335K8PACTU,KEMET,C0805C335K8PACTU,https://octopart.com/c0805c335k8pactu-kemet-137283,,,,1,399-3129-1-ND,80-C0805C335K8P,Cut Tape,Tape & Reel,0.36,0.39,60615,4847,1,1,https://octopart.com/click/track?ai=8237&sig=06aaac9&sid=459&ppid=137283&vpid=2010077&ct=offers,https://octopart.com/click/track?ai=8237&sig=0f813dc&sid=2401&ppid=137283&vpid=37834034&ct=offers,Allied Electronics & Automation,70095611,Bulk,0.32,0.32,0.32,2500,1,https://octopart.com/click/track?ai=8237&sig=06a322d&sid=14&ppid=137283&vpid=74371814&ct=offers,
1,FSM2JSMAA,TE Connectivity,FSM2JSMAA,https://octopart.com/fsm2jsmaa-te+connectivity-41720620,,,,1,450-3355-ND,506-2-1437565-8,Bag,Bulk,0.21,0.2,15944,31564,1,1,https://octopart.com/click/track?ai=8237&sig=05314e3&sid=459&ppid=41720620&vpid=502433819&ct=offers,https://octopart.com/click/track?ai=8237&sig=09620f0&sid=2401&ppid=41720620&vpid=216640967&ct=offers,Newark,14H0921,,0.126,0.126,0.126,24496,1,https://octopart.com/click/track?ai=8237&sig=0fa22ca&sid=2402&ppid=41720620&vpid=241794920&ct=offers,
1,C0805C106K8PACTU,KEMET,C0805C106K8PACTU,https://octopart.com/c0805c106k8pactu-kemet-98697,,,,1,399-4925-1-ND,80-C0805C106K8P,Cut Tape,Tape & Reel,0.16,0.18,603628,173844,1,1,https://octopart.com/click/track?ai=8237&sig=00fe3ee&sid=459&ppid=98697&vpid=1358410&ct=offers,https://octopart.com/click/track?ai=8237&sig=0a6de18&sid=2401&ppid=98697&vpid=44736977&ct=offers,Quest,C0805C106K8PAC7800,,0.06,0.06,0.06,5,1,https://octopart.com/click/track?ai=8237&sig=01ce783&sid=2412&ppid=98697&vpid=44238524&ct=offers,
3,MMBT3904-7-F,Diodes Inc.,MMBT3904-7-F,https://octopart.com/mmbt3904-7-f-diodes+inc.-357881,,,,1,MMBT3904-FDICT-ND,621-MMBT3904-F,Cut Tape,Tape & Reel,0.12,0.11,5242224,1267134,1,1,https://octopart.com/click/track?ai=8237&sig=05f786c&sid=459&ppid=357881&vpid=1465576&ct=offers,https://octopart.com/click/track?ai=8237&sig=09ae298&sid=2401&ppid=357881&vpid=37715736&ct=offers,Voyager Components,MMBT3904-7-F-DIODES INC-0809,,0.0112,0.0112,0.0112,2000,1,https://octopart.com/click/track?ai=8237&sig=0bd708a&sid=2424&ppid=357881&vpid=590604157&ct=offers,
8,C0805C104K5RACTU,KEMET,C0805C104K5RACTU,https://octopart.com/c0805c104k5ractu-kemet-143926,,,,1,399-1170-1-ND,80-C0805C104K5R,Cut Tape,Tape & Reel,0.21,0.17,1685800,3344086,1,1,https://octopart.com/click/track?ai=8237&sig=05630d9&sid=459&ppid=143926&vpid=1580637&ct=offers,https://octopart.com/click/track?ai=8237&sig=069f674&sid=2401&ppid=143926&vpid=44736965&ct=offers,Voyager Components,C0805C104K5RACTU-KEMET-1651,,0.011,0.011,0.011,1000,1,https://octopart.com/click/track?ai=8237&sig=0997f2b&sid=2424&ppid=143926&vpid=590628092&ct=offers,
1,C0805C100J5GACTU,KEMET,C0805C100J5GACTU,https://octopart.com/c0805c100j5gactu-kemet-104357,,,,1,399-1108-1-ND,80-C0805C100J5G,Cut Tape,Tape & Reel,0.11,0.11,363990,132356,1,1,https://octopart.com/click/track?ai=8237&sig=0451f79&sid=459&ppid=104357&vpid=1215736&ct=offers,https://octopart.com/click/track?ai=8237&sig=056069b&sid=2401&ppid=104357&vpid=37791370&ct=offers,Newark,64K2873,Cut Tape,0.007,0.007,0.007,2406,1,https://octopart.com/click/track?ai=8237&sig=0693fc4&sid=2402&ppid=104357&vpid=16452334&ct=offers,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,SUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8.85,29.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
